experiment mse r2 time
FBL01 0.17589453207253145 0.6942109082774076 8.452402114868164
FBL02 0.13871528819535847 0.8004424366900676 8.680826425552368
ETNA01 0.1607816923182685 0.7440248132291682 8.202597856521606
ETNA02 0.1747669765756422 0.7171842781770402 6.813324451446533
MONZ04 0.2356351865865024 0.4694756444644448 12.227446794509888
MONZ05 0.19454231626916582 0.5113385395942428 8.630047082901001
WG01 0.19553937180152858 0.6545688220031234 9.072756052017212
WG02 0.21106477082067143 0.5574987856494616 10.139625072479248
WG04 0.19738582765341223 0.6172301761244887 12.022798299789429
GRS02 0.16817292815189303 0.7349459631292826 6.948915481567383
GRS03 0.08224223962886348 0.9384437813509982 6.68134617805481
ANS02 0.25891652715226937 0.24475958407223497 12.382111310958862
ANS03 0.24988022917226757 0.3484667104313729 9.626640558242798
ANS04 0.18551593586486922 0.6060596188237409 33.41990566253662
ANS05 0.23944712328849668 0.5179046064088326 7.973998308181763
