experiment mse r2 time
FBL01 0.20763580487787925 0.5539795071005899 172.42054867744446
FBL02 0.19455284715268595 0.6146288782136605 233.23952388763428
ETNA01 0.18783390078831055 0.6533184312755842 201.470360994339
ETNA02 0.19429564398660373 0.646245950725956 165.0866894721985
MONZ04 0.2670046410523868 0.30012342599950703 242.38305258750916
MONZ05 0.21561526569934145 0.4052418459495244 212.92342257499695
WG01 0.24026014636740667 0.4612110785315845 236.88356971740723
WG02 0.24082091126220223 0.43033935599861284 242.287663936615
WG04 0.24123476148021017 0.43064358826702476 235.72516679763794
GRS02 0.2379006127994735 0.4368032748155706 202.9838981628418
GRS03 0.1149551953224463 0.8730370820020521 161.88084816932678
ANS02 0.27956705260317194 0.12187484867796516 257.8265709877014
ANS03 0.2832107525564892 0.17640263843039994 241.39414024353027
ANS04 0.23189288130990315 0.35987925140186827 511.71946024894714
ANS05 0.2779951939777124 0.3559435229836282 169.98007535934448
