experiment mse r2 time
FBL01 0.20763580487787925 0.5539795071005899 178.90322279930115
FBL02 0.19455284715268595 0.6146288782136605 277.3282549381256
ETNA01 0.18783390078831055 0.6533184312755842 194.2246482372284
ETNA02 0.19429564398660373 0.646245950725956 170.8011589050293
MONZ04 0.2670046410523868 0.30012342599950703 220.60932230949402
MONZ05 0.21561526569934145 0.4052418459495244 197.18395447731018
WG01 0.24026014636740667 0.4612110785315845 214.5687382221222
WG02 0.24082091126220223 0.43033935599861284 243.4892921447754
WG04 0.24123476148021017 0.43064358826702476 237.04637122154236
GRS02 0.2379006127994735 0.4368032748155706 171.74714469909668
GRS03 0.1149551953224463 0.8730370820020521 138.25417923927307
ANS02 0.27956705260317194 0.12187484867796516 212.90201830863953
ANS03 0.2832107525564892 0.17640263843039994 213.72271704673767
ANS04 0.23189288130990315 0.35987925140186827 459.78486490249634
ANS05 0.2779951939777124 0.3559435229836282 163.0236096382141
