sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

15 0.0026487 14 0.0026487 3.4 4.2 3 0.21166 0.17836 0.139 0.1349 0.10501 0.045061 0.061659 8 1.0792 0.13429 0.13429 0.069602 0.069602 0.0049136 0.0049136 0.091483 2 0.1392 0.22614 0.221 0.20728 0.19499 0.17749 0.13805 0.036354 10 1.9499 
15 0.0026487 14 0.0026487 3.4 4.2 3.5 0.62434 0.21013 0.15535 0.22833 0.10729 0.054797 0.23947 10 2.2833 0.26473 0.10675 0.039249 0.081912 0.021214 0.010913 0.1134 9 0.73721 0.21265 0.19275 0.1511 0.15405 0.12248 0.093829 0.047827 19 2.927 
15 0.0026487 14 0.0026487 3.4 4.2 4 0.79719 0.39857 0.25633 0.31357 0.11858 0.078129 0.24465 16 5.0172 0.035906 0.035906 0.035906 0.035906 0.035906 0.035906 0 1 0.035906 0.27333 0.19657 0.16804 0.17855 0.13565 0.12402 0.055355 17 3.0354 
15 0.0026487 14 0.0026487 3.4 4.2 4.5 0.27161 0.22876 0.08646 0.12825 0.065995 0.053983 0.091267 16 2.052 0.089925 0.089925 0.089925 0.089925 0.089925 0.089925 0 1 0.089925 0.12175 0.10342 0.057541 0.070861 0.022422 0.013372 0.063922 17 1.2046 
15 0.0026487 14 0.0026487 3.4 4.2 5 0.32918 0.2635 0.1497 0.16585 0.057238 0.043082 0.11931 11 1.8244 0.25413 0.23731 0.22362 0.15854 0.049983 0.024896 0.10796 5 0.79269 0.12116 0.10584 0.041827 0.070467 0.025391 0.014612 0.079419 16 1.1275 
15 0.0026487 14 0.0026487 3.4 4.2 5.5 0.43705 0.41353 0.24069 0.23887 0.064208 0.037052 0.2038 4 0.95548 0.15785 0.13919 0.10093 0.092431 0.0396 0.018135 0.055592 8 0.73945 0.16465 0.072102 0.045034 0.069141 0.027861 0.014774 0.086127 12 0.8297 
15 0.0026487 14 0.0026487 3.4 4.2 6 0.52287 0.27954 0.11581 0.19941 0.063305 0.033583 0.20724 12 2.3929 0.21409 0.16234 0.066563 0.091369 0.022735 0.011428 0.083776 6 0.54821 0.18011 0.060254 0.031182 0.058585 0.012844 0.0052161 0.068647 18 1.0545 
15 0.0026487 14 0.0026487 3.4 4.2 6.5 0.33756 0.26532 0.15003 0.19245 0.065143 0.042282 0.17765 15 2.8868 0.079185 0.063802 0.017653 0.035142 0.010855 0.0085885 0.038411 3 0.10543 0.091556 0.072851 0.059255 0.05983 0.019832 0.011152 0.051935 18 1.0769 
15 0.0026487 14 0.0026487 3.4 4.2 7 0.33459 0.30035 0.15003 0.19054 0.076087 0.05224 0.11803 9 1.7149 0.16125 0.16125 0.16125 0.16125 0.16125 0.16125 0 1 0.16125 0.17736 0.121 0.092899 0.092625 0.047799 0.024643 0.056118 10 0.92625 
15 0.0026487 14 0.0026487 3.4 4.7 3 0.28 0.17207 0.1425 0.15347 0.10503 0.071051 0.085386 17 2.6089 0.27558 0.16493 0.13429 0.12019 0.034785 0.002674 0.10599 9 1.0817 0.21993 0.19897 0.15022 0.1527 0.1142 0.090078 0.05135 26 3.9701 
15 0.0026487 14 0.0026487 3.4 4.7 3.5 0.29768 0.16984 0.084051 0.11413 0.029895 0.012116 0.10288 19 2.1685 0.19019 0.16051 0.10524 0.11463 0.056034 0.021973 0.085907 29 3.3242 0.17575 0.14758 0.11613 0.11697 0.086658 0.048483 0.053814 48 5.6145 
15 0.0026487 14 0.0026487 3.4 4.7 4 0.22031 0.16145 0.079318 0.10051 0.043668 0.017835 0.076925 28 2.8144 0.13826 0.10536 0.054196 0.066518 0.020356 0.0072505 0.051737 22 1.4634 0.16565 0.12116 0.091719 0.09952 0.06755 0.048067 0.046683 50 4.976 
15 0.0026487 14 0.0026487 3.4 4.7 4.5 0.26743 0.17765 0.11484 0.13084 0.063168 0.030511 0.081625 41 5.3645 0.090779 0.084885 0.057891 0.054456 0.026927 0.007345 0.033539 9 0.4901 0.12044 0.10287 0.079821 0.076067 0.049979 0.021432 0.038598 50 3.8033 
15 0.0026487 14 0.0026487 3.4 4.7 5 0.63535 0.2988 0.18046 0.23939 0.089684 0.02742 0.21328 35 8.3787 0.22667 0.18435 0.063133 0.10094 0.025221 0.017663 0.087517 14 1.4132 0.1227 0.10081 0.052067 0.06662 0.030942 0.014724 0.055204 49 3.2644 
