sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 
15 0.00097865 5 0.00097865 3.08 4.58 7 0.9114 0.70526 0.45148 0.49881 0.29077 0.18191 0.3026 16 7.9809 0.85393 0.6174 0.26653 0.36635 0.097389 0.040677 0.32533 11 4.0298 0.43638 0.3244 0.19009 0.23466 0.1227 0.098514 0.12741 27 6.3357 
15 0.00097865 5 0.00097865 3.08 5.08 3 0.97092 0.74195 0.52099 0.53792 0.33979 0.15285 0.29944 27 14.5237 0.80498 0.43604 0.17699 0.2977 0.068697 0.044472 0.30095 13 3.8701 0.41603 0.24148 0.14225 0.19232 0.085499 0.045622 0.15541 40 7.6929 
15 0.00097865 5 0.00097865 3.08 5.08 3.5 0.83717 0.6426 0.43436 0.43129 0.12902 0.039376 0.33716 39 16.8201 0.74319 0.50134 0.21304 0.32299 0.085162 0.039165 0.28763 34 10.9817 0.42228 0.27689 0.14686 0.18844 0.065099 0.029751 0.14966 73 13.7563 
15 0.00097865 5 0.00097865 3.08 5.08 4 1.8598 1.2497 0.62281 0.7992 0.32361 0.11325 0.6257 43 34.3655 0.5879 0.5476 0.19896 0.2906 0.093879 0.05627 0.23041 22 6.3932 0.48789 0.36086 0.20104 0.23862 0.096488 0.048084 0.17294 71 16.9418 
15 0.00097865 5 0.00097865 3.08 5.08 4.5 1.2561 0.8189 0.43804 0.58823 0.22667 0.14367 0.49629 48 28.2351 0.57336 0.38952 0.12958 0.23066 0.070621 0.03011 0.204 24 5.5359 0.34592 0.30369 0.17915 0.19865 0.065489 0.027604 0.14353 74 14.7002 
15 0.00097865 5 0.00097865 3.08 5.08 5 0.94612 0.71833 0.51299 0.5371 0.2253 0.08853 0.42146 37 19.8726 0.58385 0.32528 0.22502 0.24135 0.076901 0.057408 0.18822 33 7.9646 0.42949 0.30969 0.18548 0.2318 0.12241 0.04676 0.18062 70 16.2258 
15 0.00097865 5 0.00097865 3.08 5.08 5.5 1.3864 0.99227 0.70411 0.74278 0.41829 0.20635 0.45822 48 35.6534 0.84616 0.6184 0.33339 0.40711 0.1417 0.11674 0.28131 15 6.1066 0.57319 0.35186 0.17593 0.25203 0.087095 0.034007 0.22391 63 15.8779 
15 0.00097865 5 0.00097865 3.08 5.08 6 0.96484 0.83299 0.39842 0.51747 0.25605 0.16291 0.34993 32 16.5589 0.70868 0.58501 0.45006 0.40046 0.17946 0.059929 0.25379 40 16.0184 0.40244 0.27356 0.15833 0.19122 0.0715 0.028519 0.15232 72 13.7678 
15 0.00097865 5 0.00097865 3.08 5.08 6.5 0.88269 0.5307 0.29644 0.40173 0.15944 0.090977 0.37525 30 12.052 0.74107 0.56979 0.39271 0.40221 0.1698 0.056904 0.30777 44 17.6972 0.43661 0.2965 0.20363 0.21395 0.11094 0.032596 0.14053 74 15.8323 
15 0.00097865 5 0.00097865 3.08 5.08 7 1.4726 0.79603 0.35995 0.54199 0.19577 0.074849 0.49825 23 12.4658 0.54184 0.29806 0.17195 0.21355 0.074203 0.034497 0.19903 16 3.4168 0.54302 0.32749 0.25024 0.26123 0.12678 0.065118 0.16469 39 10.188 
