sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

20 0.0014257 15 0.0014257 3.25 4.9 3 0.81579 0.79307 0.66799 0.50437 0.060201 0.022834 0.36789 6 3.0262 0.10524 0.10524 0.073994 0.073994 0.042749 0.042749 0.044187 2 0.14799 0.59185 0.56243 0.51954 0.49509 0.44995 0.34109 0.095595 8 3.9607 
20 0.0014257 15 0.0014257 3.25 4.9 3.5 0.76341 0.36642 0.24062 0.29034 0.04924 0.025696 0.27919 10 2.9034 0.43061 0.31111 0.18991 0.2428 0.17449 0.16077 0.12597 4 0.97121 0.60754 0.51033 0.45276 0.44109 0.35599 0.259 0.13529 14 6.1753 
20 0.0014257 15 0.0014257 3.25 4.9 4 1.4853 1.3561 0.78674 0.85979 0.41523 0.32432 0.51819 6 5.1587 3.0517 1.1453 0.52162 1.0336 0.31463 0.22331 1.2309 9 9.3022 0.99505 0.87004 0.56194 0.66079 0.46674 0.31271 0.27393 15 9.9118 
20 0.0014257 15 0.0014257 3.25 4.9 4.5 1.8721 1.7037 1.0616 1.0276 0.35155 0.11514 0.81584 4 4.1105 3.3773 2.5103 1.1397 1.455 0.38391 0.21688 1.2619 10 14.5496 1.432 1.2102 0.95672 0.89525 0.41262 0.2479 0.46082 14 12.5335 
20 0.0014257 15 0.0014257 3.25 4.9 5 1.5353 1.4425 1.1639 0.93812 0.37733 0.11514 0.73652 3 2.8144 1.9008 1.2576 1.2065 1.128 0.65692 0.42042 0.60477 13 14.6635 1.1682 0.69892 0.45673 0.55711 0.34337 0.18121 0.35387 16 8.9138 
20 0.0014257 15 0.0014257 3.25 4.9 5.5 0.38658 0.38658 0.38658 0.38658 0.38658 0.38658 0 1 0.38658 1.8314 1.4161 1.0755 1.0609 0.53006 0.32471 0.73607 14 14.8525 1.1696 1.0305 0.67914 0.64748 0.30124 0.085616 0.39402 15 9.7121 
20 0.0014257 15 0.0014257 3.25 4.9 6 0.33922 0.33922 0.23536 0.23536 0.13149 0.13149 0.14689 2 0.47071 2.5275 1.219 0.72035 1.0698 0.56719 0.54475 0.75179 13 13.908 0.95706 0.93827 0.7212 0.72657 0.59517 0.44776 0.24334 15 10.8986 
20 0.0014257 15 0.0014257 3.25 4.9 6.5 0.66361 0.47643 0.33922 0.36884 0.25476 0.13149 0.1946 5 1.8442 1.4176 1.2 0.6605 0.78308 0.43614 0.3438 0.43205 9 7.0477 0.76706 0.69617 0.5062 0.54649 0.40565 0.37253 0.15575 14 7.6509 
20 0.0014257 15 0.0014257 3.25 4.9 7 0.79736 0.5584 0.28828 0.37137 0.18434 0.11156 0.29705 4 1.4855 0.99047 0.88662 0.57507 0.6306 0.38846 0.32625 0.33557 3 1.8918 1.4499 1.1799 0.94943 0.98162 0.86477 0.47945 0.34593 7 6.8713 
20 0.0014257 15 0.0014257 3.25 5.4 3 1.3209 0.95686 0.60826 0.64328 0.12259 0.021478 0.48279 17 10.9357 0.86562 0.67194 0.22139 0.37286 0.0951 0.064685 0.34905 5 1.8643 0.75935 0.52742 0.46594 0.44865 0.29962 0.19932 0.20429 22 9.8704 
20 0.0014257 15 0.0014257 3.25 5.4 3.5 1.2265 0.73105 0.36687 0.48051 0.13542 0.03505 0.40659 28 13.4543 0.47223 0.45482 0.28334 0.28259 0.133 0.05837 0.17513 16 4.5214 0.73209 0.63768 0.52191 0.52593 0.43906 0.29833 0.1648 44 23.141 
20 0.0014257 15 0.0014257 3.25 5.4 4 1.2871 1.075 0.72594 0.69139 0.30745 0.22549 0.42082 28 19.359 0.97674 0.4479 0.32873 0.38231 0.19081 0.066677 0.31749 14 5.3524 1.2801 1.1525 0.89603 0.91097 0.68959 0.55307 0.28932 42 38.2609 
20 0.0014257 15 0.0014257 3.25 5.4 4.5 0.86746 0.71781 0.40432 0.42653 0.15899 0.029271 0.31037 13 5.5449 1.7659 1.2511 0.94194 0.95084 0.49998 0.27104 0.58941 35 33.2795 1.7444 1.4497 1.2172 1.2127 0.93953 0.70052 0.39832 48 58.2104 
20 0.0014257 15 0.0014257 3.25 5.4 5 1.2725 0.47471 0.39324 0.44195 0.068363 0.034569 0.56004 11 4.8615 1.7409 1.2634 0.89138 0.94084 0.40044 0.26182 0.60022 34 31.9887 1.246 0.98315 0.68488 0.6969 0.4304 0.22407 0.38065 45 31.3604 
20 0.0014257 15 0.0014257 3.25 5.4 5.5 0.52655 0.40145 0.17938 0.25868 0.10062 0.074208 0.18654 9 2.3281 1.1103 0.56785 0.44385 0.50727 0.22938 0.039728 0.41669 39 19.7836 1.0698 0.77778 0.46382 0.54642 0.27075 0.12396 0.34595 48 26.2283 
20 0.0014257 15 0.0014257 3.25 5.4 6 0.85376 0.5471 0.27949 0.35545 0.095865 0.044885 0.33164 10 3.5545 1.1794 0.71795 0.43857 0.51059 0.2023 0.099324 0.37994 36 18.3814 1.0219 0.90625 0.72835 0.74936 0.5953 0.48645 0.22468 46 34.4708 
20 0.0014257 15 0.0014257 3.25 5.4 6.5 0.76089 0.54338 0.43927 0.45396 0.30509 0.11622 0.24932 28 12.7109 0.89089 0.61779 0.42385 0.46876 0.19038 0.10655 0.32152 16 7.5002 1.086 0.88508 0.62078 0.65696 0.4432 0.30835 0.29409 44 28.9062 
20 0.0014257 15 0.0014257 3.25 5.4 7 0.57366 0.44882 0.363 0.30025 0.060498 0.038536 0.22118 12 3.603 0.81198 0.59643 0.42634 0.45004 0.2925 0.14835 0.2455 9 4.0504 1.131 0.79651 0.62648 0.6456 0.43004 0.25446 0.34108 21 13.5577 
20 0.0014257 15 0.0014257 3.25 5.9 3 1.3116 0.88546 0.48228 0.55006 0.10735 0.021756 0.48261 14 7.7008 0.59402 0.35803 0.2756 0.32312 0.23368 0.14003 0.20345 11 3.5543 0.66386 0.57296 0.40998 0.41936 0.29652 0.088318 0.20637 25 10.484 
20 0.0014257 15 0.0014257 3.25 5.9 3.5 1.1655 0.66457 0.37237 0.51846 0.23685 0.064769 0.45315 29 15.0354 0.53696 0.4479 0.28818 0.29242 0.10054 0.028356 0.20178 18 5.2635 0.94184 0.71903 0.58935 0.61273 0.45351 0.29353 0.28377 47 28.7984 
20 0.0014257 15 0.0014257 3.25 5.9 4 1.6083 1.2438 0.83855 0.92334 0.47796 0.28819 0.63402 31 28.6234 0.50034 0.3081 0.24966 0.24348 0.099105 0.062417 0.15995 12 2.9218 1.6858 1.4641 1.1647 1.1786 0.88403 0.61501 0.42992 43 50.6811 
20 0.0014257 15 0.0014257 3.25 5.9 4.5 1.2622 0.82668 0.45404 0.52361 0.18124 0.035713 0.43221 13 6.807 1.9591 1.4586 0.95464 0.98882 0.48409 0.13025 0.62974 38 37.5752 1.5753 1.3432 0.86429 0.96595 0.60999 0.49802 0.42682 51 49.2634 
20 0.0014257 15 0.0014257 3.25 5.9 5 0.85818 0.35734 0.24991 0.31859 0.10105 0.032063 0.30794 10 3.1859 1.7597 1.2634 0.81117 0.91111 0.47575 0.14126 0.60208 38 34.6221 0.99948 0.86259 0.66116 0.65606 0.45848 0.23685 0.30125 48 31.4908 
