experiment mse r2 time
FBL01 0.183107086009971 0.6444310525320522 2.870527744293213
FBL02 0.16223781571066892 0.7314895199530185 2.441204309463501
ETNA01 0.1650635470692698 0.7218696106517806 4.314939022064209
ETNA02 0.1929208638966223 0.649238084396119 1.9007604122161865
MONZ04 0.23186711263129092 0.48641289896608275 4.570417404174805
MONZ05 0.1973319905791109 0.516374186919276 1.8896698951721191
WG01 0.19772599173243433 0.6248352581150232 7.391373157501221
WG02 0.2161832183790041 0.5479185478599411 6.331341505050659
WG04 0.1918738633112028 0.6315806494912564 2.479858636856079
GRS02 0.17610262237340277 0.6884914630022181 2.2918484210968018
GRS03 0.09760679552318473 0.9085709895378145 1.7537083625793457
ANS02 0.2692404146925028 0.21573275741401887 4.150194406509399
ANS03 0.27061365296178447 0.22511179926919012 5.826739549636841
ANS04 0.19210428517998424 0.5874484997811675 11.041601419448853
ANS05 0.24568896634177778 0.5030131254704027 5.091544151306152
