experiment mse r2 time
FBL01 0.21104323258021074 0.5379405028260076 13.325237512588501
FBL02 0.1947307998851959 0.6119715655406672 20.82340979576111
ETNA01 0.18444613435134205 0.6623920958577989 16.87203049659729
ETNA02 0.20024944726075106 0.6245921757583539 19.459064483642578
MONZ04 0.2682956841006796 0.3045748967509808 20.16076970100403
MONZ05 0.2183598437541899 0.3975162439070026 16.90181875228882
WG01 0.24329108352501003 0.4473676741386782 24.262736558914185
WG02 0.2431628556458959 0.42004971650471934 15.880494832992554
WG04 0.23861650523467418 0.43761375354910126 14.714901685714722
GRS02 0.243936271657204 0.4153471752750746 19.961490631103516
GRS03 0.12080835867077508 0.858721087074731 13.052343130111694
ANS02 0.28149385912330366 0.12075433029026306 17.576536417007446
ANS03 0.28626552516437126 0.1786241910735492 19.824068069458008
ANS04 0.2345808153806952 0.35222168074727433 33.87444519996643
ANS05 0.28233362296890285 0.34093161655486426 19.060998678207397
