experiment mse r2 time
FBL01 0.17589453207253145 0.6942109082774076 24.086185693740845
FBL02 0.13871528819535847 0.8004424366900676 34.29597330093384
ETNA01 0.1607816923182685 0.7440248132291682 30.260621786117554
ETNA02 0.1747669765756422 0.7171842781770402 29.099051475524902
MONZ04 0.23758503179722146 0.4606593016509951 44.4457106590271
MONZ05 0.1942118159493454 0.5129974648777389 39.009682178497314
WG01 0.19372741921516157 0.6609409910195156 38.18291997909546
WG02 0.21106477082067143 0.5574987856494616 42.47613191604614
WG04 0.19738582765341223 0.6172301761244887 44.548474073410034
GRS02 0.16718046662879568 0.7380651301954231 31.880618810653687
GRS03 0.08224223962886348 0.9384437813509982 27.52014446258545
ANS02 0.25787292443060955 0.25083553866921404 50.14090633392334
ANS03 0.24954746307303027 0.350200851863987 40.533674001693726
ANS04 0.18551593586486922 0.6060596188237409 112.89275026321411
ANS05 0.2397314722662576 0.5167589277698458 37.00590133666992
