experiment mse r2 time
FBL01 0.20873410134933298 0.5514782294403597 613.4174160957336
FBL02 0.19226899218028304 0.6190538595124822 581.7744827270508
ETNA01 0.1859341350534349 0.6592659516758914 419.40014457702637
ETNA02 0.19432634452564657 0.6452094297466204 562.6728339195251
MONZ04 0.2672465890987337 0.30633649874046287 522.619268655777
MONZ05 0.21727005933660323 0.40083491884123035 434.01631021499634
WG01 0.23981843674828876 0.464902581686769 512.7153513431549
WG02 0.2412385593160622 0.4355616475374109 726.6046631336212
WG04 0.23963953005453112 0.43359338063800634 629.678364276886
GRS02 0.23713601144142285 0.4406029373871646 425.48581624031067
GRS03 0.11551858729876092 0.8698767893040802 485.32057905197144
ANS02 0.28177272306426737 0.12681480930114297 689.0331919193268
ANS03 0.2859767258981729 0.17100412624364814 494.06842255592346
ANS04 0.23374877922830953 0.35663404117777986 1394.6753237247467
ANS05 0.27846179393510245 0.3550744007271137 558.1697721481323
